Quý,Năm,Tiền và các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,Các khoản phải thu ngắn hạn,Hàng tồn kho,Tài sản ngắn hạn khác,Các khoản phải thu dài hạn,Tài sản cố định,Tài sản dở dang dài hạn,Bất động sản đầu tư,Đầu tư tài chính dài hạn,Tài sản dài hạn khác,Nợ ngắn hạn,Nợ dài hạn,Vốn chủ sở hữu,Nguồn kinh phí và quỹ khác,Debt Ratio,D/E,Asset Leverage,Equity/Asset,Long Debt/Equity,Financial Leverage,Current Ratio,Quick Ratio
4,2012,"6,591,266,338","708,892,490,000","542,689,472,810","2,210,936,480","16,743,028,553",,"306,068,912,628",,,"147,725,898,358","14,131,407,429","728,814,326,388","189,663,291,676","1,199,125,671,482",,0.43249900134631386,0.7659560961019649,1.7710008432797346,0.5646524697007427,0.15816798538021043,0.7659560961019649,1.7523354686377197,1.7493018613114788
1,2013,"12,942,080,455","349,962,677,900","513,881,999,512","92,083,462,034","18,750,852,811",,"269,071,863,899",,,"447,554,476,184","18,529,677,965","709,131,626,536","127,449,555,740","1,258,176,265,738",,0.3982086339330135,0.66491572370052,1.6697672200959155,0.5988858734108804,0.10129705925206177,0.66491572370052,1.3927189759345222,1.2628651397943775
2,2013,"12,942,080,455","349,962,677,900","513,881,999,512","92,083,462,034","18,750,852,811",,"269,071,863,899",,,"447,554,476,184","18,529,677,965","709,131,626,536","127,449,555,740","1,258,176,265,738",,0.3982086339330135,0.66491572370052,1.6697672200959155,0.5988858734108804,0.10129705925206177,0.66491572370052,1.3927189759345222,1.2628651397943775
3,2013,"12,942,080,455","349,962,677,900","513,881,999,512","92,083,462,034","18,750,852,811",,"269,071,863,899",,,"447,554,476,184","18,529,677,965","709,131,626,536","127,449,555,740","1,258,176,265,738",,0.3982086339330135,0.66491572370052,1.6697672200959155,0.5988858734108804,0.10129705925206177,0.66491572370052,1.3927189759345222,1.2628651397943775
4,2013,"12,942,080,455","349,962,677,900","513,881,999,512","92,083,462,034","18,750,852,811",,"269,071,863,899",,,"447,554,476,184","18,529,677,965","709,131,626,536","127,449,555,740","1,258,176,265,738",,0.3982086339330135,0.66491572370052,1.6697672200959155,0.5988858734108804,0.10129705925206177,0.66491572370052,1.3927189759345222,1.2628651397943775
1,2014,"563,859,148,199","1,745,545,987,900","1,104,475,344,300","43,286,057,749","132,620,986,949",,"605,411,176,103",,,"611,178,280,296","13,028,940,604","589,363,577,237","898,483,789,921","3,914,585,266,018",,0.27534617487473934,0.38007790507817196,1.380363846532741,0.7244466757890278,0.22952208953541506,0.38007790507817196,6.090955844143459,6.017510420264485
2,2014,"563,859,148,199","1,745,545,987,900","1,104,475,344,300","43,286,057,749","132,620,986,949",,"605,411,176,103",,,"611,178,280,296","13,028,940,604","589,363,577,237","898,483,789,921","3,914,585,266,018",,0.27534617487473934,0.38007790507817196,1.380363846532741,0.7244466757890278,0.22952208953541506,0.38007790507817196,6.090955844143459,6.017510420264485
3,2014,"563,859,148,199","1,745,545,987,900","1,104,475,344,300","43,286,057,749","132,620,986,949",,"605,411,176,103",,,"611,178,280,296","13,028,940,604","589,363,577,237","898,483,789,921","3,914,585,266,018",,0.27534617487473934,0.38007790507817196,1.380363846532741,0.7244466757890278,0.22952208953541506,0.38007790507817196,6.090955844143459,6.017510420264485
4,2014,"563,859,148,199","1,745,545,987,900","1,104,475,344,300","43,286,057,749","132,620,986,949",,"605,411,176,103",,,"611,178,280,296","13,028,940,604","589,363,577,237","898,483,789,921","3,914,585,266,018",,0.27534617487473934,0.38007790507817196,1.380363846532741,0.7244466757890278,0.22952208953541506,0.38007790507817196,6.090955844143459,6.017510420264485
1,2015,,,,,,,,,,,,,,,,,,,,,,,
2,2015,"281,031,944,423",,"2,877,458,194,707","38,942,028,755","52,254,160,376","288,366,742,928","226,097,975,504","1,913,939,917,561","625,750,434,051","615,499,107,571","208,995,183,530","813,330,720,980","589,318,942,522","5,725,686,025,904",,0.1967709889962943,0.24497495272289974,1.2449749527228997,0.8032290110037057,0.10292547300983997,0.24497495272289974,3.995528810648369,3.947649113311869
3,2015,,,,,,,,,,,,,,,,,,,,,,,
4,2015,,,,,,,,,,,,,,,,,,,,,,,
1,2016,,,,,,,,,,,,,,,,,,,,,,,
2,2016,"119,195,544,677",,"5,557,471,036,180","349,281,510,622","135,624,137,180","584,940,000","2,259,628,752,535","1,985,140,303,184","972,194,811,027","1,001,433,825,929","301,468,441,168","3,343,455,632,990","2,471,405,535,427","6,867,162,134,085",,0.4585121025025875,0.8467633434130049,1.8467633434130049,0.5414878974974126,0.3598874596480307,0.8467633434130049,1.842875427405867,1.7384082087666763
3,2016,"76,413,897,741",,"8,087,294,233,790","945,326,151,254","235,267,709,832","10,987,778,341","3,952,849,310,258","1,490,745,627,173","967,954,231,270","879,975,749,294","373,154,197,136","5,471,665,632,453","3,487,041,376,509","8,061,261,877,127",,0.5263644762761145,1.1113281202762322,2.1113281202762324,0.4736355237238855,0.43256768352894237,1.1113281202762322,1.7077618809883053,1.5349943519113867
4,2016,"660,801,024,940",,"7,222,425,180,396","1,099,243,184,931","276,620,387,919","13,530,288,530","4,133,434,279,990","2,083,638,115,912","1,637,839,850,497","761,044,488,906","-98,455,966,446","6,625,988,437,875","2,757,052,622,807","8,407,079,774,893",,0.5274298666886333,1.1160880248458713,2.116088024845871,0.4725701333113667,0.3279441490540739,1.1160880248458713,1.397389969058783,1.2314912212361058
1,2017,"338,590,201,567","282,200,000,000","7,919,835,151,021","625,381,346,955","362,423,531,478","905,403,894,844","3,937,804,018,571","2,717,970,134,065","1,161,172,998,997","469,028,484,810","381,081,774,561","7,113,371,956,818","3,431,327,024,512","8,556,192,555,539",,0.5520527123551469,1.2324055253412578,2.2324055253412576,0.4479472876448532,0.40103433884159967,1.2324055253412578,1.3395096290287791,1.2515933284681728
2,2017,"314,155,860,809","282,200,000,000","9,041,744,546,710","1,092,325,106,882","285,489,100,651","704,860,194,603","3,208,557,651,038","3,501,072,570,220","1,155,908,993,792","466,866,690,386","441,475,160,352","8,041,718,861,918","3,931,421,952,875","8,521,515,060,650",,0.58420794608898,1.4050483663499762,2.405048366349976,0.4157920539110201,0.46135246196174895,1.4050483663499762,1.3698457760340847,1.234013483754537
3,2017,"272,568,759,543","282,200,000,000","9,282,416,487,217","345,921,939,978","283,169,793,634","847,865,928,885","3,045,251,981,669","4,475,634,648,473","824,852,005,667","517,149,445,494","599,267,702,943","8,688,735,712,811","3,528,270,556,701","8,559,292,423,991",,0.5880261181137334,1.427338343443989,2.427338343443989,0.4119738818862666,0.4122152138197247,1.427338343443989,1.2045799672488744,1.1647672774155353
4,2017,"466,554,775,589","276,200,000,000","10,495,423,194,547","1,232,178,750,445","229,727,326,901","676,036,258,793","2,369,191,102,558","3,617,601,755,340","1,188,626,641,379","1,391,044,246,448","626,205,338,199","10,955,693,962,268","3,017,296,088,335","8,595,799,339,596",,0.6191289133422053,1.6255602880627187,2.6255602880627187,0.3808710866577947,0.3510198376125439,1.6255602880627187,1.159222235599294,1.0467529794582693
1,2018,"226,587,206,838","276,200,000,000","11,095,845,722,918","1,046,477,856,484","381,531,994,982","637,289,743,781","3,202,863,122,004","3,327,561,254,883","1,264,892,267,234","1,302,682,726,280","806,369,390,864","12,038,319,633,331","2,909,200,150,412","8,620,781,502,525",,0.6342213468075498,1.7338938215015562,2.7338938215015562,0.3657786531924502,0.33746362201151997,1.7338938215015562,1.0820980982391089,0.9951692004894118
2,2018,"836,364,297,866","276,200,000,000","12,413,067,654,792","1,229,538,557,031","354,036,057,520","619,297,590,489","2,910,038,435,444","4,121,450,068,421","624,010,673,865","2,014,090,612,765","854,714,294,552","14,364,556,448,177","3,237,232,827,816","8,651,018,966,752",,0.670472625756419,2.0346492527228315,3.0346492527228315,0.32952737424358103,0.3742024887770428,2.0346492527228315,1.051839409153946,0.9662441064749663
3,2018,"998,160,424,009","325,687,177,679","12,140,056,647,626","1,198,350,054,579","490,912,583,849","1,231,847,220,519","2,892,863,467,649","4,187,883,783,698","618,467,488,208","1,397,615,924,024","789,465,511,985","13,258,427,396,750","4,274,923,937,814","8,737,958,949,261",,0.6673953885489724,2.0065728663152917,3.0065728663152917,0.3326046114510276,0.48923598321270956,2.0065728663152917,1.1429083129011555,1.0525242862953492
4,2018,"334,643,481,770","278,850,000,000","12,725,537,885,969","1,780,710,609,091","518,664,579,528","858,485,352,159","3,042,754,689,920","3,707,535,339,803","911,152,128,076","1,031,525,996,638","674,719,812,732","13,456,940,236,593","3,452,965,088,363","8,954,674,550,730",,0.6537861974263947,1.8883885985088622,2.888388598508862,0.3462138025736054,0.38560475523719717,1.8883885985088622,1.1621071567095924,1.0297805967499387
1,2019,"441,117,602,928","278,410,190,000","13,728,814,371,155","1,453,461,259,574","787,294,547,949","477,143,231,492","3,011,577,789,591","3,583,226,622,927","971,196,023,321","941,074,799,918","853,800,750,970","14,040,229,698,272","3,463,395,544,761","9,023,491,946,792",,0.6598389533916962,1.9397839934079875,2.9397839934079872,0.3401610466083039,0.3838198742995825,1.9397839934079875,1.1886627448595095,1.0851415567586564
2,2019,"426,998,238,264","293,592,581,127","14,764,036,916,414","1,599,856,378,993","963,670,960,489","557,013,588,664","2,977,832,597,100","3,374,016,454,972","1,248,105,316,952","320,532,609,802","971,348,687,498","14,860,968,814,682","3,601,086,762,210","9,034,948,753,383",,0.6714206156837507,2.043404570499546,3.043404570499546,0.3285793843162493,0.3985730146904959,2.043404570499546,1.2144669234118974,1.1068120054221355
3,2019,"383,441,983,453","192,412,800,000","15,167,731,324,951","1,582,943,720,711","1,538,672,009,772","449,763,502,916","2,985,516,003,529","4,428,651,265,364","1,225,236,396,781","401,029,250,244","756,252,602,421","16,679,514,851,010","3,334,316,210,463","9,097,819,798,669",,0.6874852668996105,2.1998491401644378,3.1998491401644378,0.31251473310038946,0.3664961808708067,2.1998491401644378,1.131040201552664,1.0361367385412592
4,2019,"634,169,002,657","761,202,800,000","14,218,483,092,819","1,649,527,197,445","904,078,106,563","1,236,657,583,399","2,896,193,229,326","5,444,490,738,661","1,290,759,137,654","1,770,569,836,170","1,816,242,562,883","15,686,142,359,955","5,268,739,828,119","11,667,491,099,503",,0.6423469562851786,1.796005843018523,2.796005843018523,0.35765304371482143,0.45157436017615066,1.796005843018523,1.158185344910775,1.0530271001624638
1,2020,"48,523,721,601","70,629,750,000","16,503,972,737,330","1,624,117,568,801","1,098,003,788,166","1,629,372,949,876","2,879,122,296,463","5,398,595,085,876","1,350,027,599,922","1,795,135,488,134","1,151,536,477,327","18,753,198,905,141","5,027,846,407,756","9,767,992,150,599",,0.7088443398345676,2.4345889048895972,3.4345889048895972,0.2911556601654324,0.5147267043460594,2.4345889048895972,1.0315705423779564,0.9449657142088399
2,2020,"458,939,307,006","2,848,450,008,081","13,963,560,079,256","3,488,276,096,445","943,513,823,790","1,886,815,237,367","2,866,084,088,372","3,630,033,851,660","1,329,759,325,479","1,713,861,644,506","1,160,030,633,658","18,947,871,361,228","4,959,884,360,588","10,381,568,373,804",,0.6972361325976062,2.30290403732666,3.30290403732666,0.3027638674023938,0.47775867595337196,2.30290403732666,1.145391949355701,0.9612933754344706
3,2020,"251,496,789,858","2,630,178,155,000","16,622,798,815,586","3,359,578,806,548","928,268,498,113","2,439,777,690,299","2,862,689,887,648","4,215,047,694,050","1,308,983,364,888","1,486,700,449,699","1,126,284,272,653","19,918,607,686,162","6,415,493,779,060","10,897,702,959,120",,0.7073012407640623,2.416481855305451,3.416481855305451,0.29269875923593774,0.5887014725145396,2.416481855305451,1.1944771160704257,1.0258117726146183
4,2020,"1,214,422,031,451","87,404,199,729","15,376,951,346,683","2,746,333,429,178","1,075,415,807,961","6,246,106,794,332","2,827,179,873,307","5,287,000,714,286","1,001,512,152,620","1,477,795,252,590","1,125,010,638,125","18,622,923,009,782","6,548,709,424,172","13,293,499,806,308",,0.6544012971728846,1.8935293790736445,2.8935293790736445,0.34559870282711536,0.49262493095042753,1.8935293790736445,1.1008221858745675,0.9533515966585007
1,2021,,,,,,,,,,,,,,,,,,,,,,,
2,2021,,,,,,,,,,,,,,,,,,,,,,,
3,2021,,,,,,,,,,,,,,,,,,,,,,,
4,2021,,,,,,,,,,,,,,,,,,,,,,,
1,2022,,,,,,,,,,,,,,,,,,,,,,,
2,2022,,,,,,,,,,,,,,,,,,,,,,,
3,2022,,,,,,,,,,,,,,,,,,,,,,,
4,2022,,,,,,,,,,,,,,,,,,,,,,,
1,2023,,,,,,,,,,,,,,,,,,,,,,,
2,2023,,,,,,,,,,,,,,,,,,,,,,,
3,2023,,,,,,,,,,,,,,,,,,,,,,,
4,2023,,,,,,,,,,,,,,,,,,,,,,,
1,2024,,,,,,,,,,,,,,,,,,,,,,,
2,2024,,,,,,,,,,,,,,,,,,,,,,,
3,2024,,,,,,,,,,,,,,,,,,,,,,,
4,2024,,,,,,,,,,,,,,,,,,,,,,,
