Quý,TÀI SẢN,A- TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi,8. Tài sản Thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,V.Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu Nhà nước,4. Giao dịch mua bán lại trái phiếu Chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở đơn vị trực thuộc,4. Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi,II.Tài sản cố định,1. Tài sản cố định hữu hình, Nguyên giá, Giá trị hao mòn lũy kế,2. Tài sản cố định thuê tài chính, Nguyên giá.1, Giá trị hao mòn lũy kế.1,3. Tài sản cố định vô hình, Nguyên giá.2, Giá trị hao mòn lũy kế.2,III. Bất động sản đầu tư, Nguyên giá.3, Giá trị hao mòn lũy kế.3,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên kết, liên doanh",3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,C. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,12. Quỹ khen thưởng phúc lợi,13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi,11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,D.VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu, Cổ phiếu phổ thông có quyền biểu quyết, Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ,6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối, LNST chưa phân phối lũy kế đến cuối kỳ trước, LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,TỔNG CỘNG NGUỒN VỐN
'2/2011,,"227,524,152,230","634,156,486","634,156,486",,"139,940,002,000",,,,"73,395,737,619","63,876,304,736","4,768,942,490",,,,"4,750,490,393",,,"2,047,117,570","2,047,117,570",,"11,507,138,555","534,705,795","2,089,864,495",,,"8,882,568,265","223,705,180,016",,,,,,,,,"28,024,536,875","25,565,125,308","29,599,676,959","-4,034,551,651",,,,,,,,,,,,"2,459,411,567","159,272,831,926",,"159,272,831,926",,,,"3,613,848,684","3,410,351,172",,,,,"451,229,332,246",,"225,939,971,481","224,102,765,706","64,896,414,145","538,544,304","5,587,691,715","1,016,080,604","145,442,908",,,,,,,,,,"1,837,205,775",,,,,,,,"1,508,000,000",,,,,,"221,375,356,103","221,375,356,103","170,000,000,000",,,"42,000,000,000",,"1,243,883,693",,,,"4,339,235,151",,"368,103,234","2,143,780,626",,,,,,,,"451,229,332,246"
'3/2011,,"227,524,152,230","634,156,486","634,156,486",,"139,940,002,000",,,,"73,395,737,619","63,876,304,736","4,768,942,490",,,,"4,750,490,393",,,"2,047,117,570","2,047,117,570",,"11,507,138,555","534,705,795","2,089,864,495",,,"8,882,568,265","223,705,180,016",,,,,,,,,"28,024,536,875","25,565,125,308","29,599,676,959","-4,034,551,651",,,,,,,,,,,,"2,459,411,567","159,272,831,926",,"159,272,831,926",,,,"3,613,848,684","3,410,351,172",,,,,"451,229,332,246",,"225,939,971,481","224,102,765,706","64,896,414,145","538,544,304","5,587,691,715","1,016,080,604","145,442,908",,,,,,,,,,"1,837,205,775",,,,,,,,"1,508,000,000",,,,,,"221,375,356,103","221,375,356,103","170,000,000,000",,,"42,000,000,000",,"1,243,883,693",,,,"4,339,235,151",,"368,103,234","2,143,780,626",,,,,,,,"451,229,332,246"
'4/2011,,"227,524,152,230","634,156,486","634,156,486",,"139,940,002,000",,,,"73,395,737,619","63,876,304,736","4,768,942,490",,,,"4,750,490,393",,,"2,047,117,570","2,047,117,570",,"11,507,138,555","534,705,795","2,089,864,495",,,"8,882,568,265","223,705,180,016",,,,,,,,,"28,024,536,875","25,565,125,308","29,599,676,959","-4,034,551,651",,,,,,,,,,,,"2,459,411,567","159,272,831,926",,"159,272,831,926",,,,"3,613,848,684","3,410,351,172",,,,,"451,229,332,246",,"225,939,971,481","224,102,765,706","64,896,414,145","538,544,304","5,587,691,715","1,016,080,604","145,442,908",,,,,,,,,,"1,837,205,775",,,,,,,,"1,508,000,000",,,,,,"221,375,356,103","221,375,356,103","170,000,000,000",,,"42,000,000,000",,"1,243,883,693",,,,"4,339,235,151",,"368,103,234","2,143,780,626",,,,,,,,"451,229,332,246"
'1/2012,,"1,277,127,194,181","6,591,266,338","6,591,266,338",,"708,892,490,000",,,"-1,100,000,000","542,689,472,810","455,616,927,368","86,809,156,324",,,,"263,389,118",,,"2,210,936,480","2,210,936,480",,"16,743,028,553","736,370,718","1,566,661,353",,,"14,439,996,482","846,525,381,212",,,,,,,,,"306,068,912,628","17,202,110,115","22,776,149,234","-5,574,039,119",,,,"75,742,178,933","75,742,178,933",,,,,,,"213,124,623,580","147,725,898,358",,"147,725,898,358",,,,"14,131,407,429","4,065,939,284","9,657,528,145",,,,"2,123,652,575,393",,"918,477,618,064","728,814,326,388","456,725,114,278","437,405,085","49,263,933,636","1,504,561,068","583,780,000",,,,,,,,,,"189,663,291,676",,,,,,,"530,000,000","103,568,787,330",,,,,,"1,199,125,671,482","1,199,125,671,482","771,800,000,000",,,"413,745,800,523",,,,,,"4,028,264,228",,"368,103,234","8,525,091,946",,,,,,,,"2,123,652,575,393"
'2/2012,,"1,277,127,194,181","6,591,266,338","6,591,266,338",,"708,892,490,000",,,"-1,100,000,000","542,689,472,810","455,616,927,368","86,809,156,324",,,,"263,389,118",,,"2,210,936,480","2,210,936,480",,"16,743,028,553","736,370,718","1,566,661,353",,,"14,439,996,482","846,525,381,212",,,,,,,,,"306,068,912,628","17,202,110,115","22,776,149,234","-5,574,039,119",,,,"75,742,178,933","75,742,178,933",,,,,,,"213,124,623,580","147,725,898,358",,"147,725,898,358",,,,"14,131,407,429","4,065,939,284","9,657,528,145",,,,"2,123,652,575,393",,"918,477,618,064","728,814,326,388","456,725,114,278","437,405,085","49,263,933,636","1,504,561,068","583,780,000",,,,,,,,,,"189,663,291,676",,,,,,,"530,000,000","103,568,787,330",,,,,,"1,199,125,671,482","1,199,125,671,482","771,800,000,000",,,"413,745,800,523",,,,,,"4,028,264,228",,"368,103,234","8,525,091,946",,,,,,,,"2,123,652,575,393"
'3/2012,,"1,277,127,194,181","6,591,266,338","6,591,266,338",,"708,892,490,000",,,"-1,100,000,000","542,689,472,810","455,616,927,368","86,809,156,324",,,,"263,389,118",,,"2,210,936,480","2,210,936,480",,"16,743,028,553","736,370,718","1,566,661,353",,,"14,439,996,482","846,525,381,212",,,,,,,,,"306,068,912,628","17,202,110,115","22,776,149,234","-5,574,039,119",,,,"75,742,178,933","75,742,178,933",,,,,,,"213,124,623,580","147,725,898,358",,"147,725,898,358",,,,"14,131,407,429","4,065,939,284","9,657,528,145",,,,"2,123,652,575,393",,"918,477,618,064","728,814,326,388","456,725,114,278","437,405,085","49,263,933,636","1,504,561,068","583,780,000",,,,,,,,,,"189,663,291,676",,,,,,,"530,000,000","103,568,787,330",,,,,,"1,199,125,671,482","1,199,125,671,482","771,800,000,000",,,"413,745,800,523",,,,,,"4,028,264,228",,"368,103,234","8,525,091,946",,,,,,,,"2,123,652,575,393"
'4/2012,,"1,277,127,194,181","6,591,266,338","6,591,266,338",,"708,892,490,000",,,"-1,100,000,000","542,689,472,810","455,616,927,368","86,809,156,324",,,,"263,389,118",,,"2,210,936,480","2,210,936,480",,"16,743,028,553","736,370,718","1,566,661,353",,,"14,439,996,482","846,525,381,212",,,,,,,,,"306,068,912,628","17,202,110,115","22,776,149,234","-5,574,039,119",,,,"75,742,178,933","75,742,178,933",,,,,,,"213,124,623,580","147,725,898,358",,"147,725,898,358",,,,"14,131,407,429","4,065,939,284","9,657,528,145",,,,"2,123,652,575,393",,"918,477,618,064","728,814,326,388","456,725,114,278","437,405,085","49,263,933,636","1,504,561,068","583,780,000",,,,,,,,,,"189,663,291,676",,,,,,,"530,000,000","103,568,787,330",,,,,,"1,199,125,671,482","1,199,125,671,482","771,800,000,000",,,"413,745,800,523",,,,,,"4,028,264,228",,"368,103,234","8,525,091,946",,,,,,,,"2,123,652,575,393"
'1/2013,,"987,621,072,712","12,942,080,455","12,442,080,455","500,000,000","349,962,677,900",,,,"513,881,999,512","428,964,496,957","57,537,900,404",,,,"27,525,805,863","-146,203,712",,"92,083,462,034","92,083,462,034",,"18,750,852,811","7,030,439,837","2,368,780,798","1,067,363",,"9,350,564,813","1,113,240,412,920",,,,,,,,,"269,071,863,899","127,455,828,529","142,118,229,222","-14,662,400,693",,,,"91,550,455,390","91,550,455,390",,,,,,,"50,065,579,980","447,554,476,184",,"442,054,476,184","5,500,000,000",,,"18,529,677,965","7,176,787,603","10,944,950,362",,,,"2,100,861,485,632",,"836,581,182,276","709,131,626,536","381,435,356,623","5,727,781,772","80,318,000,885","2,173,325,173","57,312,569,538",,,,,,,,,,"127,449,555,740",,,,,,,"960,000,000","58,319,933,322",,,,,,"1,258,176,265,738","1,258,176,265,738","771,800,000,000",,,"413,961,378,437",,,,,,"6,415,289,973",,"709,106,912","63,779,569,670",,,,,,,,"2,100,861,485,631"
'2/2013,,"987,621,072,712","12,942,080,455","12,442,080,455","500,000,000","349,962,677,900",,,,"513,881,999,512","428,964,496,957","57,537,900,404",,,,"27,525,805,863","-146,203,712",,"92,083,462,034","92,083,462,034",,"18,750,852,811","7,030,439,837","2,368,780,798","1,067,363",,"9,350,564,813","1,113,240,412,920",,,,,,,,,"269,071,863,899","127,455,828,529","142,118,229,222","-14,662,400,693",,,,"91,550,455,390","91,550,455,390",,,,,,,"50,065,579,980","447,554,476,184",,"442,054,476,184","5,500,000,000",,,"18,529,677,965","7,176,787,603","10,944,950,362",,,,"2,100,861,485,632",,"836,581,182,276","709,131,626,536","381,435,356,623","5,727,781,772","80,318,000,885","2,173,325,173","57,312,569,538",,,,,,,,,,"127,449,555,740",,,,,,,"960,000,000","58,319,933,322",,,,,,"1,258,176,265,738","1,258,176,265,738","771,800,000,000",,,"413,961,378,437",,,,,,"6,415,289,973",,"709,106,912","63,779,569,670",,,,,,,,"2,100,861,485,631"
'3/2013,,"987,621,072,712","12,942,080,455","12,442,080,455","500,000,000","349,962,677,900",,,,"513,881,999,512","428,964,496,957","57,537,900,404",,,,"27,525,805,863","-146,203,712",,"92,083,462,034","92,083,462,034",,"18,750,852,811","7,030,439,837","2,368,780,798","1,067,363",,"9,350,564,813","1,113,240,412,920",,,,,,,,,"269,071,863,899","127,455,828,529","142,118,229,222","-14,662,400,693",,,,"91,550,455,390","91,550,455,390",,,,,,,"50,065,579,980","447,554,476,184",,"442,054,476,184","5,500,000,000",,,"18,529,677,965","7,176,787,603","10,944,950,362",,,,"2,100,861,485,632",,"836,581,182,276","709,131,626,536","381,435,356,623","5,727,781,772","80,318,000,885","2,173,325,173","57,312,569,538",,,,,,,,,,"127,449,555,740",,,,,,,"960,000,000","58,319,933,322",,,,,,"1,258,176,265,738","1,258,176,265,738","771,800,000,000",,,"413,961,378,437",,,,,,"6,415,289,973",,"709,106,912","63,779,569,670",,,,,,,,"2,100,861,485,631"
