Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'4/2014,"1,003,114,923,461","300,000,000","1,002,814,923,461","907,168,863,365","95,646,060,096","173,086,393,118","32,808,773,935","32,808,773,935",,"499,464,810","17,655,113,766","131,289,097,562","750,870,988","20,369,940,933","-19,619,069,945","117,322,016,522","20,148,452,531","112,840,605","97,060,723,386","96,745,535,262",,307,
'1/2015,,,,,,,,,,,,,,,,,,,,,,,
'2/2015,"1,350,677,913,619",,"1,350,677,913,619","1,187,806,054,110","162,871,859,509","188,622,991,185","19,582,708,050","3,273,401,709","28,233,378,898","1,212,767,824","31,232,132,774","327,700,620,944","97,185,909","90,598,410","6,587,499","355,940,587,341","87,482,632,756","-4,397,546,881","244,622,122,568","244,613,019,158","9,103,411",622,
'3/2015,,,,,,,,,,,,,,,,,,,,,,,
'4/2015,,,,,,,,,,,,,,,,,,,,,,,
'1/2016,,,,,,,,,,,,,,,,,,,,,,,
'2/2016,"2,170,789,918,921","20,403,636","2,170,769,515,285","1,468,641,848,727","702,127,666,558","25,841,500,060","57,726,122,644","41,190,990,168","3,217,109,166","33,333,323,806","122,383,142,435","517,743,686,899","9,383,484,692","9,866,809,023","-483,324,331","517,260,362,568","107,418,746,632","2,775,079,261","407,066,536,675","452,859,543,753","-45,793,007,078",855,
'3/2016,"1,145,741,264,560","46,523,284,671","1,099,217,979,889","803,316,102,741","295,901,877,148","55,740,199,279","64,213,376,801","52,440,912,199","-390,861,727","39,663,643,002","91,478,013,401","155,896,181,496","20,095,748,433","53,981,166,246","-33,885,417,813","122,010,763,683","37,335,868,506","870,795,096","83,804,100,081","85,990,941,300","-2,186,841,219",152,
'4/2016,"1,593,366,710,671","16,844,572,205","1,576,522,138,466","1,136,839,443,981","439,682,694,485","412,167,439,391","95,652,082,006","104,613,029,513","-7,836,817,667","34,475,276,750","252,296,645,009","461,589,312,444","1,543,862,877","14,138,470,305","-12,594,607,428","448,994,705,016","113,756,792,855","2,149,022,813","333,088,889,348","324,460,665,263","8,628,224,085",574,
'1/2017,"1,605,910,321,428","18,276,258,395","1,587,634,063,033","1,300,199,447,048","287,434,615,985","112,210,320,720","60,032,627,212","58,413,930,995","-367,735,034","52,863,392,310","81,346,058,724","205,035,123,425","2,073,719,886","1,623,305,705","450,414,181","205,485,537,606","52,936,114,730","-73,207,470","152,622,630,346","150,619,841,915","2,002,788,431",236,
'2/2017,"1,339,127,256,618","38,861,113,501","1,300,266,143,117","1,133,977,627,398","166,288,515,719","120,387,820,180","69,453,157,464","67,031,243,299","-551,102,838","60,529,031,927","121,889,577,580","34,253,466,090","2,995,683,992","14,572,886,782","-11,577,202,790","22,676,263,300","18,125,857,952","-522,842,742","5,073,248,090","3,551,071,765","1,522,176,325",,
